Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
22/04/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,32.61,General Retail and Wholesale,Grocery stores
22/04/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,6.00,General Retail and Wholesale,Grocery stores
22/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,65.40,General Retail and Wholesale,Grocery stores
22/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,53.24,General Retail and Wholesale,Grocery stores
22/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,14.50,General Retail and Wholesale,Grocery stores
22/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,68.07,General Retail and Wholesale,Grocery stores
22/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,93.26,General Retail and Wholesale,Grocery stores
22/04/2014,DCC-BASSETTS FARM PR 0487469 (00487469),B & Q,180.00,Building Materials,Timber & building supplies
22/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),SCREWFIX DIRECT,44.76,Building Materials,Timber & building supplies
23/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),Amazon  Mktplce EU-UK,15.31,Books and Periodicals,Book stores
23/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,3.00,Books and Periodicals,Book stores
23/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,16.80,Books and Periodicals,Book stores
23/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  BOOKDEPOSIT,37.44,Books and Periodicals,Book stores
23/04/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),Amazon EU,88.96,Mail Order / Direct Selling,Direct sales companies
23/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),Amazon EU,20.16,Mail Order / Direct Selling,Direct sales companies
23/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),Amazon EU,124.91,Mail Order / Direct Selling,Direct sales companies
23/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),Amazon EU,22.04,Mail Order / Direct Selling,Direct sales companies
23/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),Amazon EU,18.00,Mail Order / Direct Selling,Direct sales companies
23/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon EU,25.98,Mail Order / Direct Selling,Direct sales companies
23/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon EU,5.68,Mail Order / Direct Selling,Direct sales companies
23/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,27.30,General Retail and Wholesale,Grocery stores
23/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,17.97,General Retail and Wholesale,Grocery stores
23/04/2014,DCC CDPLS - C (00451587),PLASTEXE LTD,111.60,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
24/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,32.40,Books and Periodicals,Book stores
24/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,11.60,Books and Periodicals,Book stores
24/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,27.90,Books and Periodicals,Book stores
24/04/2014,D C C - BIDEFORD COLLEGE (00247481),WP-SCOACH ETICKET,40.00,Travel - Air/Rail/Road,"Buses, charter & tour"
24/04/2014,D C C - BIDEFORD COLLEGE (00247481),WP-SCOACH ETICKET,40.00,Travel - Air/Rail/Road,"Buses, charter & tour"
24/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),Amazon EU,15.48,Mail Order / Direct Selling,Direct sales companies
24/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon EU,13.44,Mail Order / Direct Selling,Direct sales companies
24/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO STORE 3031,3.34,General Retail and Wholesale,Grocery stores
24/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,9.99,General Retail and Wholesale,Grocery stores
24/04/2014,DCC - LANDSCORE PRIMARY SCH (00313502),HOTEL YASMIN,137.02,Hotels and Accommodation,"Hotels, motels & resorts"
24/04/2014,DCC - LANDSCORE PRIMARY SCH (00313502),HOTEL YASMIN,170.96,Hotels and Accommodation,"Hotels, motels & resorts"
24/04/2014,DCC - LANDSCORE PRIMARY SCH (00313502),HOTEL YASMIN,170.96,Hotels and Accommodation,"Hotels, motels & resorts"
25/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),Amazon  Mktplce EU-UK,20.28,Books and Periodicals,Book stores
25/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,24.94,Books and Periodicals,Book stores
25/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,67.90,Books and Periodicals,Book stores
25/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,30.90,Books and Periodicals,Book stores
25/04/2014,D C C - BIDEFORD COLLEGE (00247481),WWW.DEVON.GOV.UK,140.00,Training and Educational,Colleges & universities
25/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon EU,14.22,Mail Order / Direct Selling,Direct sales companies
25/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  SUSANQL,1.29,General Retail and Wholesale,Electronics shops
25/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,55.54,General Retail and Wholesale,Grocery stores
25/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5663,33.00,General Retail and Wholesale,Grocery stores
25/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,7.63,General Retail and Wholesale,Grocery stores
25/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,78.09,General Retail and Wholesale,Grocery stores
25/04/2014,DCC HORWOOD & NEWTON- C0529381 (00529381),MAGDALEN CHAPTER,288.20,Hotels and Accommodation,"Hotels, motels & resorts"
25/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),FGW WEBSALES,51.30,Travel - Air/Rail/Road,Passenger railways
25/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),PLUME OF FEATHERS,190.70,Restaurants and Bars,Restaurants
26/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),SAINSBURY'S S/MKT,5.99,General Retail and Wholesale,Grocery stores
26/04/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),TESCO STORES 5138,14.50,General Retail and Wholesale,Grocery stores
26/04/2014,DCC COCKWOOD P.SCH-0479007 (00479007),EB  AN INTRODUCTION TO,32.45,Miscellaneous Industrial/Commercial Supplies,Misc business services
27/04/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,3.36,General Retail and Wholesale,Grocery stores
27/04/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,23.64,General Retail and Wholesale,Grocery stores
27/04/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,8.58,General Retail and Wholesale,Grocery stores
27/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,13.96,General Retail and Wholesale,Grocery stores
27/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,16.00,General Retail and Wholesale,Grocery stores
28/04/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),WWW.NISBETS.COM,71.98,Mail Order / Direct Selling,Catalogue sales
28/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.E-DIGITAL.CO.UK,213.89,Computer Equipment & Services,"Computers, peripherals & software"
28/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon EU,11.15,Mail Order / Direct Selling,Direct sales companies
28/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.FURNITUREATWORK.CO,374.40,General Retail and Wholesale,Furniture & home furnishing
28/04/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA HOME DELIVERY,41.64,General Retail and Wholesale,Grocery stores
28/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,137.71,General Retail and Wholesale,Grocery stores
28/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,9.00,General Retail and Wholesale,Grocery stores
28/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,43.84,General Retail and Wholesale,Grocery stores
28/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,65.54,General Retail and Wholesale,Grocery stores
29/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,31.64,Books and Periodicals,Book stores
29/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,53.98,Books and Periodicals,Book stores
29/04/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon  Mktplce EU-UK,33.13,Books and Periodicals,Book stores
29/04/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon  Mktplce EU-UK,99.99,Books and Periodicals,Book stores
29/04/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),THE BOOK DEPOSITORY,315.00,Books and Periodicals,Book stores
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  OHSEWCRAFTY,11.00,General Retail and Wholesale,Children/infants shops
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  JTFWHOLESAL,17.50,General Retail and Wholesale,Department stores
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  SWIMERTEXTI,67.00,General Retail and Wholesale,Fabric and sewing shops
29/04/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,46.48,General Retail and Wholesale,Grocery stores
29/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5138,23.75,General Retail and Wholesale,Grocery stores
29/04/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,27.95,General Retail and Wholesale,Grocery stores
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,-10.08,General Retail and Wholesale,Grocery stores
29/04/2014,DCC CHARLTON LODGE C0554043 (00554043),WWW.DIRECTSALONSUPPLIE,36.00,General Retail and Wholesale,Hairdresser and beauty shops
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  DEWALTUK1,20.00,General Retail and Wholesale,Hardware stores
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  PEUNSWORTH,6.15,General Retail and Wholesale,Hardware stores
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  VALUEPRODUC,29.47,Medical Supplies and Services,Medical & health services
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  HYGIENESERV,34.98,General Retail and Wholesale,Misc. home furnishing
29/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),FGW WEBSALES,97.20,Travel - Air/Rail/Road,Passenger railways
29/04/2014,DCC BUCKLAND BREWER SCH (00447141),POST OFFICE COUNTER,169.64,Mail and Courier Services,Postal services
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  PRINTERBSCS,26.96,Computer Equipment & Services,"Programming, data processing & system design"
29/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),W & J LINNEY LTD,24.62,Print and Advertising,Publishing & printing services
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  SKYSHINE,11.25,General Retail and Wholesale,Sporting goods shops
29/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  SKYSHINE,-1.25,General Retail and Wholesale,Sporting goods shops
29/04/2014,DCC ORCHARD LEA RESI 0474050 (00474050),SCREWFIX DIRECT,57.96,Building Materials,Timber & building supplies
30/04/2014,DCC - GREEN CLOSE RESIDENT HOM (00379924),Amazon  Mktplce EU-UK,50.78,Books and Periodicals,Book stores
30/04/2014,DCC BUCKLAND BREWER SCH (00447141),Amazon  Mktplce EU-UK,17.30,Books and Periodicals,Book stores
30/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,21.27,Books and Periodicals,Book stores
30/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,11.15,Books and Periodicals,Book stores
30/04/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon EU,11.15,Mail Order / Direct Selling,Direct sales companies
30/04/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),JS ONLINE GROCERY,95.06,General Retail and Wholesale,Grocery stores
30/04/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,53.56,General Retail and Wholesale,Grocery stores
30/04/2014,D C C - BIDEFORD COLLEGE (00247481),WWW.BCSC.COM,165.60,"Office Stationery, Equipment and Supplies",Office & commercial furniture
30/04/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TAMAR TRADING LTD,361.44,Building Materials,Timber & building supplies
01/05/2014,DCC - ST ANDREWS PRI 0467693 (00467693),LW ADV SALE(SENTINEL1),48.00,Books and Periodicals,"Books, periodicals & newspapers"
01/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),RAKUTEN PLAY.COM,45.60,Mail Order / Direct Selling,Catalogue sales
01/05/2014,D C C - BIDEFORD COLLEGE (00247481),SIGMA-ALDRICH COMP,27.36,Miscellaneous Industrial/Commercial Supplies,Chemical products
01/05/2014,DCC COCKWOOD P.SCH-0479007 (00479007),Amazon EU,66.30,Mail Order / Direct Selling,Direct sales companies
01/05/2014,DCC COURT OF PROTECT-C 0509893 (00509893),Amazon EU,22.90,Mail Order / Direct Selling,Direct sales companies
01/05/2014,DCC COURT OF PROTECT-C 0509893 (00509893),EAST DEVON DISTRICT COUN,16.19,Statutory Bodies,Government services
01/05/2014,DCC COURT OF PROTECT-C 0509893 (00509893),WWW.EASTDEVON.GOV.UK,181.78,Statutory Bodies,Government services
01/05/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,9.75,General Retail and Wholesale,Grocery stores
01/05/2014,DCC-RATCLIFFE SCH-C- 0503860 (00503860),BRITTANY FERRIES,391.20,Travel - Air/Rail/Road,Local commuter transport
01/05/2014,DCC-RATCLIFFE SCH-C- 0503860 (00503860),BRITTANY FERRIES,211.20,Travel - Air/Rail/Road,Local commuter transport
01/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),TMB,41.17,Travel - Air/Rail/Road,Local commuter transport
01/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),TMB,308.76,Travel - Air/Rail/Road,Local commuter transport
01/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),TMB,308.76,Travel - Air/Rail/Road,Local commuter transport
01/05/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  VALUEPRODUC,-29.47,Medical Supplies and Services,Medical & health services
01/05/2014,D C C - BIDEFORD COLLEGE (00247481),FGW WEBSALES,291.20,Travel - Air/Rail/Road,Passenger railways
01/05/2014,D C C - BIDEFORD COLLEGE (00247481),FGW WEBSALES,183.40,Travel - Air/Rail/Road,Passenger railways
01/05/2014,D C C - BIDEFORD COLLEGE (00247481),FGW WEBSALES,176.20,Travel - Air/Rail/Road,Passenger railways
01/05/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),TRAINLINE.COM,60.18,Travel - Air/Rail/Road,Passenger railways
01/05/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),TRAINLINE.COM,98.12,Travel - Air/Rail/Road,Passenger railways
01/05/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.ROYALMAIL.COM,7.15,Mail and Courier Services,Postal services
01/05/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  NEW IT LTD,135.85,Computer Equipment & Services,"Programming, data processing & system design"
01/05/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),W M MORRISON,3.39,Automotive Fuel,Service stations
02/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,22.75,Books and Periodicals,Book stores
02/05/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,39.74,Books and Periodicals,Book stores
02/05/2014,DCC WEST HILL PRIMARY SCHOOL (00446997),THE BOOK DEPOSITORY,36.33,Books and Periodicals,Book stores
02/05/2014,DCC - ST ANDREWS PRI 0467693 (00467693),LW ADV SALE(SENTINEL1),24.00,Books and Periodicals,"Books, periodicals & newspapers"
02/05/2014,DCC COURT OF PROTECT-C 0509893 (00509893),DEVON REGISTRY,7.00,Training and Educational,Colleges & universities
02/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),WESTMINSTER FORUM,387.60,Professional Services,Consultants & public relation services
02/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon EU,52.17,Mail Order / Direct Selling,Direct sales companies
02/05/2014,DCC - ST ANDREWS PRI 0467693 (00467693),VACLENSA PLC,260.40,Mail Order / Direct Selling,Direct sales companies
02/05/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,27.54,General Retail and Wholesale,Grocery stores
02/05/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO STORES 5663,4.00,General Retail and Wholesale,Grocery stores
02/05/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),MERCURE HOLLAND HOUSE HOT,220.00,Hotels and Accommodation,"Hotels, motels & resorts"
03/05/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),TESCO STORES 5138,4.50,General Retail and Wholesale,Grocery stores
03/05/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WM MORRISONS,4.00,General Retail and Wholesale,Grocery stores
03/05/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WM MORRISONS,8.12,General Retail and Wholesale,Grocery stores
03/05/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WM MORRISONS,2.43,General Retail and Wholesale,Grocery stores
03/05/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),PETS AT HOME LTD,14.22,General Retail and Wholesale,"Pet shops, food & supply"
03/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),CAFE ROUGE GATWICK,69.75,Restaurants and Bars,Restaurants
03/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),"RESTAURACE ""U VESELE BASY",138.34,Restaurants and Bars,Restaurants
04/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),HOTEL YASMIN,6.16,Hotels and Accommodation,"Hotels, motels & resorts"
04/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),HOTEL YASMIN,3.07,Hotels and Accommodation,"Hotels, motels & resorts"
04/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),HOTEL YASMIN,21.67,Hotels and Accommodation,"Hotels, motels & resorts"
04/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),KLUB STOLARNA S.R.O.,47.33,Restaurants and Bars,Restaurants
05/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),"STUDENT AGENCY, K.S. / ZL",23.73,Travel - Air/Rail/Road,"Buses, charter & tour"
05/05/2014,DCC - LANDSCORE PRIMARY SCH (00313502),"STUDENT AGENCY, K.S. / ZL",63.99,Travel - Air/Rail/Road,"Buses, charter & tour"
05/05/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,19.15,General Retail and Wholesale,Grocery stores
05/05/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,3.36,General Retail and Wholesale,Grocery stores
05/05/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,103.46,General Retail and Wholesale,Grocery stores
05/05/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,5.00,General Retail and Wholesale,Grocery stores
05/05/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,8.06,General Retail and Wholesale,Grocery stores
05/05/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,19.07,General Retail and Wholesale,Grocery stores
05/05/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),HOMEBASE LTD 226,8.55,Building Materials,Timber & building supplies
06/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,47.07,Books and Periodicals,Book stores
06/05/2014,DCC LEASE DAY CENTRE (00322822),Amazon  Mktplce EU-UK,40.28,Books and Periodicals,Book stores
06/05/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,43.99,Books and Periodicals,Book stores
06/05/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO DELIVERY SAVER2,6.00,Mail Order / Direct Selling,Continuous subscriptions
06/05/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon EU,44.13,Mail Order / Direct Selling,Direct sales companies
06/05/2014,DCC COMM SERV'S DEVON-TIVERTON (00322820),ARGOS LTD,23.99,General Retail and Wholesale,Discount stores
06/05/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA HOME DELIVERY,44.59,General Retail and Wholesale,Grocery stores
06/05/2014,DCC CDPLS - C (00451587),JS ONLINE GROCERY,132.73,General Retail and Wholesale,Grocery stores
06/05/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,38.52,General Retail and Wholesale,Grocery stores
06/05/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2490,42.16,General Retail and Wholesale,Grocery stores
06/05/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,54.63,General Retail and Wholesale,Grocery stores
06/05/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,6.00,General Retail and Wholesale,Grocery stores
06/05/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,112.95,General Retail and Wholesale,Grocery stores
